sLxdName;sElement;sId;sLabel;sParamGl;sParamLr
btnCountry;btn;NI;Nikaragua;NI;es
btnCountry;btn;NL;Nizozemsko;NL;nl
btnCountry;btn;NO;Norsko;NO;no
btnCountry;btn;NZ;Nový Zéland;NZ;en
btnCountry;btn;OM;Omán;OM;ar
btnCountry;btn;PK;Pákistán;PK;ur
btnCountry;btn;PW;Palau;PW;en
btnCountry;btn;PA;Panama;PA;es
btnCountry;btn;PG;Papua-Nová Guinea;PG;en
btnCountry;btn;PY;Paraguay;PY;es
btnCountry;btn;PE;Peru;PE;es
btnCountry;btn;CI;Pobřeží slonoviny;CI;fr
btnCountry;btn;PL;Polsko;PL;pl
btnCountry;btn;PT;Portugalsko;PT;pt
btnCountry;btn;AT;Rakousko;AT;de
btnCountry;btn;RO;Rumunsko;RO;ro
btnCountry;btn;RU;Rusko;RU;ru
btnCountry;btn;RW;Rwanda;RW;en
btnCountry;btn;GR;Řecko;GR;el
btnCountry;btn;KN;Saint Kitts a Nevis;KN;en
btnCountry;btn;LC;Saint Lucia;LC;en
btnCountry;btn;VC;Saint Vincent a Grenadiny;VC;en
btnCountry;btn;SV;Salvador;SV;es
btnCountry;btn;WS;Samoa;WS;en
btnCountry;btn;SM;San Marino;SM;it
btnCountry;btn;SA;Saúdská Arábie;SA;ar
btnCountry;btn;SN;Senegal;SN;fr
btnCountry;btn;KP;Severní Korea;KP;ko
btnCountry;btn;MK;Severní Makedonie;MK;mk
btnCountry;btn;SC;Seychely;SC;en
btnCountry;btn;SL;Sierra Leone;SL;en
btnCountry;btn;SG;Singapur;SG;en
btnCountry;btn;SK;Slovensko;SK;sk
btnCountry;btn;SI;Slovinsko;SI;sl
btnCountry;btn;SO;Somálsko;SO;so
btnCountry;btn;AE;Spojené arabské emiráty;AE;ar
btnCountry;btn;RS;Srbsko;RS;sr
btnCountry;btn;LK;Srí Lanka;LK;si
btnCountry;btn;CF;Středoafrická republika;CF;fr
btnCountry;btn;SD;Súdán;SD;ar
